time,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_point_on_display_area,right_gaze_point_validity,left_pupil_diameter,left_pupil_validity,right_pupil_diameter,right_pupil_validity
0.004072666168212891,"(0.477992445230484, 0.6212338209152222)",1,"(0.48902231454849243, 0.5773757696151733)",1,3.1077880859375,1,2.936981201171875,1
0.010123014450073242,"(0.4782619774341583, 0.6250857710838318)",1,"(0.48633697628974915, 0.5804867744445801)",1,3.0940093994140625,1,2.9410247802734375,1
0.03164792060852051,"(0.4771067500114441, 0.6173555254936218)",1,"(0.4875921607017517, 0.5857325792312622)",1,3.083343505859375,1,2.93682861328125,1
0.04638481140136719,"(0.4807712435722351, 0.6104713678359985)",1,"(0.48920348286628723, 0.5822882652282715)",1,3.08660888671875,1,2.9296875,1
0.06332063674926758,"(0.4796707034111023, 0.6127036213874817)",1,"(0.4889352023601532, 0.5846931338310242)",1,3.08905029296875,1,2.943115234375,1
0.07970952987670898,"(0.4790970981121063, 0.6017059087753296)",1,"(0.48777759075164795, 0.5825396776199341)",1,3.072601318359375,1,2.9312896728515625,1
0.09736990928649902,"(0.4795304536819458, 0.6006556153297424)",1,"(0.4873134195804596, 0.5812709927558899)",1,3.060821533203125,1,2.922393798828125,1
0.11419963836669922,"(0.4742538332939148, 0.6032476425170898)",1,"(0.4877254068851471, 0.5845118761062622)",1,3.0684051513671875,1,2.919708251953125,1
0.1298074722290039,"(0.4770868122577667, 0.6043179035186768)",1,"(0.48979735374450684, 0.5840689539909363)",1,3.077239990234375,1,2.9177703857421875,1
0.14644742012023926,"(0.47626838088035583, 0.6052595376968384)",1,"(0.4884706139564514, 0.5914732813835144)",1,3.078125,1,2.9311981201171875,1
0.1633014678955078,"(0.4765971302986145, 0.6027058362960815)",1,"(0.48618772625923157, 0.5882054567337036)",1,3.069732666015625,1,2.9022064208984375,1
0.1797504425048828,"(0.4823664128780365, 0.5965268611907959)",1,"(0.48736512660980225, 0.5867244601249695)",1,3.0816802978515625,1,2.9052581787109375,1
0.19650769233703613,"(0.4817054569721222, 0.5910903215408325)",1,"(0.488888680934906, 0.5873035788536072)",1,3.083953857421875,1,2.926605224609375,1
0.2143087387084961,"(0.48071378469467163, 0.591627836227417)",1,"(0.4910038709640503, 0.5847334265708923)",1,3.0539398193359375,1,2.9210205078125,1
0.22976112365722656,"(0.48064711689949036, 0.5989505648612976)",1,"(0.4933567941188812, 0.5915600061416626)",1,3.05828857421875,1,2.9140472412109375,1
0.24825787544250488,"(0.4828314483165741, 0.6116182804107666)",1,"(0.4911189079284668, 0.5850514769554138)",1,3.0714569091796875,1,2.913665771484375,1
0.2631092071533203,"(0.48121824860572815, 0.6099701523780823)",1,"(0.4885604679584503, 0.5829571485519409)",1,3.06451416015625,1,2.9211578369140625,1
0.27941012382507324,"(0.48291850090026855, 0.6133962273597717)",1,"(0.4856235980987549, 0.5798100233078003)",1,3.0756072998046875,1,2.9101104736328125,1
0.29859137535095215,"(0.48325487971305847, 0.6195031404495239)",1,"(0.48379042744636536, 0.5774796605110168)",1,3.0836334228515625,1,2.9068756103515625,1
0.3128359317779541,"(0.4807709753513336, 0.614057183265686)",1,"(0.48989900946617126, 0.5824958086013794)",1,3.08111572265625,1,2.9163665771484375,1
0.32865405082702637,"(0.4814644157886505, 0.6076605916023254)",1,"(0.49244481325149536, 0.5826491713523865)",1,3.0908050537109375,1,2.909942626953125,1
0.34795427322387695,"(0.4800891578197479, 0.6080034971237183)",1,"(0.49073418974876404, 0.5846952199935913)",1,3.0952301025390625,1,2.9091033935546875,1
0.36276888847351074,"(0.48045697808265686, 0.6090553402900696)",1,"(0.4896858036518097, 0.588538408279419)",1,3.0882415771484375,1,2.9297332763671875,1
0.37983036041259766,"(0.4820023775100708, 0.614568293094635)",1,"(0.48725640773773193, 0.5876274108886719)",1,3.0994720458984375,1,2.9363250732421875,1
0.39643192291259766,"(0.4815792739391327, 0.6199795007705688)",1,"(0.48797836899757385, 0.5928056836128235)",1,3.1185150146484375,1,2.9423980712890625,1
0.4162294864654541,"(0.48178061842918396, 0.6161019802093506)",1,"(0.48510512709617615, 0.5913079380989075)",1,3.1190185546875,1,2.935638427734375,1
0.4298436641693115,"(0.48185989260673523, 0.6160513162612915)",1,"(0.4850737750530243, 0.5916095972061157)",1,3.1175079345703125,1,2.93182373046875,1
0.4655025005340576,"(0.48435118794441223, 0.6148282289505005)",1,"(0.4866316318511963, 0.593403697013855)",1,3.1311492919921875,1,2.9554443359375,1
0.4705343246459961,"(0.48263490200042725, 0.6147306561470032)",1,"(0.4876372814178467, 0.5885751247406006)",1,3.1395721435546875,1,2.9663543701171875,1
0.47928547859191895,"(0.4806655943393707, 0.6159257292747498)",1,"(0.4872133731842041, 0.5850974917411804)",1,3.1408233642578125,1,2.952880859375,1
0.4935336112976074,"(0.48099592328071594, 0.6116964221000671)",1,"(0.4849987328052521, 0.5863413214683533)",1,3.1334991455078125,1,2.9508514404296875,1
0.5100750923156738,"(0.48230716586112976, 0.605686366558075)",1,"(0.4861553907394409, 0.5883908867835999)",1,3.1394805908203125,1,2.946563720703125,1
0.5267560482025146,"(0.484000027179718, 0.6087228059768677)",1,"(0.4853438436985016, 0.5880841612815857)",1,3.1605377197265625,1,2.9552154541015625,1
0.5432989597320557,"(0.48408403992652893, 0.6123433113098145)",1,"(0.4864162802696228, 0.586905300617218)",1,3.1682891845703125,1,2.9714813232421875,1
0.5600535869598389,"(0.48536205291748047, 0.6090423464775085)",1,"(0.4856182038784027, 0.5852815508842468)",1,3.170745849609375,1,2.9920806884765625,1
0.5768814086914062,"(0.4843864142894745, 0.6122773289680481)",1,"(0.4856089949607849, 0.5933512449264526)",1,3.1878662109375,1,3.011932373046875,1
0.5935547351837158,"(0.48247992992401123, 0.6142393946647644)",1,"(0.4886026978492737, 0.599055290222168)",1,3.196685791015625,1,3.0023345947265625,1
0.610055685043335,"(0.48402920365333557, 0.6084378361701965)",1,"(0.48593375086784363, 0.6009253263473511)",1,3.2005462646484375,1,2.9936676025390625,1
0.6267786026000977,"(0.4825933575630188, 0.6094661951065063)",1,"(0.4895833134651184, 0.5907288193702698)",1,3.20428466796875,1,2.998565673828125,1
0.6434388160705566,"(0.4794783592224121, 0.6100425720214844)",1,"(0.4911314845085144, 0.5763098001480103)",1,3.197265625,1,2.994964599609375,1
0.6600818634033203,"(0.4805820882320404, 0.6076505780220032)",1,"(0.4896676540374756, 0.5814863443374634)",1,3.1861114501953125,1,2.996795654296875,1
0.6771359443664551,"(0.47969773411750793, 0.6214608550071716)",1,"(0.4910132586956024, 0.5834929347038269)",1,3.1938934326171875,1,2.995941162109375,1
0.6933896541595459,"(0.47901231050491333, 0.6365296840667725)",1,"(0.4884277284145355, 0.6005997657775879)",1,3.2032012939453125,1,2.9976654052734375,1
0.71002197265625,"(0.47604113817214966, 0.641430675983429)",1,"(0.48896723985671997, 0.6165491938591003)",1,3.2027740478515625,1,3.00848388671875,1
